Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,,revenue,,,
708082083,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544,1661,15149,111,0.469,Chip ,Travel,4393.21,0,,19742.21,177.8577477,,
708083283,Blue,445,1,108,01-01-2023,Week-1,Q1,2023,3421,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,,1506.44,71.7352381,,
708084558,Blue,140,0,106,01-01-2023,Week-1,Q1,2023,8258,1771,1447,23,0.214,Chip ,Bills,202.58,0,,1789.58,77.80782609,,
708085458,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,0,3940,82,0,Online ,Grocery,236.4,0,,4426.4,53.9804878,,
708086958,Blue,320,1,106,01-01-2023,Week-1,Q1,2023,3128,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,,5693.87,96.50627119,,
708095133,Blue,100,0,94,01-01-2023,Week-1,Q1,2023,33304,1833,1448,29,0.055,Swipe ,Bills,275.12,0,,1823.12,62.8662069,,
708098133,Blue,225,1,75,01-01-2023,Week-1,Q1,2023,2834,1418,1598,39,0.5,Swipe ,Bills,159.8,1,,1982.8,50.84102564,,
708099183,Blue,400,1,75,01-01-2023,Week-1,Q1,2023,5723,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,,3541.8,56.21904762,,
708100533,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679,2277,4943,85,0.85,Chip ,Food,988.6,0,,6131.6,72.13647059,,
708103608,Platinum,95,1,80,01-01-2023,Week-1,Q1,2023,11898,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,,19684.52,153.7853125,,
708104658,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732,0,,4115,85.72916667,,
708108333,Blue,485,0,86,01-01-2023,Week-1,Q1,2023,5590,0,1507,32,0,Swipe ,Entertainment,150.7,0,,2142.7,66.959375,,
708112008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,,2566.08,73.31657143,,
708113208,Blue,300,1,149,01-01-2023,Week-1,Q1,2023,1688,0,4375,69,0,Chip ,Fuel,525,0,,5200,75.36231884,,
708117933,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880,0,2469,34,0,Chip ,Bills,419.73,1,,3248.73,95.55088235,,
708119658,Blue,340,0,44,01-01-2023,Week-1,Q1,2023,12836,1034,2519,53,0.081,Swipe ,Bills,554.18,0,,3413.18,64.39962264,,
708121908,Blue,405,0,71,01-01-2023,Week-1,Q1,2023,22917,0,2045,45,0,Swipe ,Grocery,265.85,0,,2715.85,60.35222222,,
708123033,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463,0,14511,105,0,Swipe ,Fuel,3047.31,0,,17913.31,170.6029524,,
708125733,Blue,220,0,69,01-01-2023,Week-1,Q1,2023,1438.3,0,4311,77,0,Swipe ,Entertainment,1207.08,0,,5738.08,74.52051948,,
708128733,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814,0,5014,99,0,Swipe ,Entertainment,1303.64,0,,6442.64,65.07717172,,
708129933,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,,5444.1,85.0640625,,
708132783,Blue,250,1,92,01-01-2023,Week-1,Q1,2023,16411,1179,3929,71,0.072,Swipe ,Food,785.8,1,,4964.8,69.92676056,,
708134283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,3131,629,1483,31,0.201,Swipe ,Food,311.43,0,,1919.43,61.91709677,,
708136908,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,,5370.15,78.97279412,,
708139833,Blue,460,0,111,01-01-2023,Week-1,Q1,2023,6391,0,2323,44,0,Swipe ,Grocery,441.37,0,,3224.37,73.28113636,,
708145908,Blue,320,0,78,01-01-2023,Week-1,Q1,2023,4906,2185,3999,71,0.445,Swipe ,Bills,959.76,0,,5278.76,74.34873239,,
708147108,Blue,320,0,112,01-01-2023,Week-1,Q1,2023,21084,2517,2309,71,0.119,Swipe ,Travel,277.08,0,,2906.08,40.93070423,,
708148158,Blue,175,0,73,01-01-2023,Week-1,Q1,2023,1827,0,4207,86,0,Swipe ,Fuel,925.54,0,,5307.54,61.7155814,,
708151008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,6250,644,2433,41,0.103,Swipe ,Fuel,486.6,0,,3359.6,81.94146341,,
708152358,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512,1664,8019,57,0.09,Swipe ,Food,721.71,0,,9075.71,159.2229825,,
708153558,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516,1802,7936,101,0.052,Swipe ,Fuel,634.88,0,,8945.88,88.57306931,,
708154833,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0,,3216.72,69.92869565,,
708155733,Blue,335,0,88,01-01-2023,Week-1,Q1,2023,14734,1634,1289,23,0.111,Swipe ,Bills,296.47,0,,1920.47,83.49869565,,
708158133,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031,2517,2188,50,0.83,Swipe ,Bills,350.08,1,,2648.08,52.9616,,
708160008,Blue,375,1,96,01-01-2023,Week-1,Q1,2023,34516,1058,7412,84,0.031,Swipe ,Bills,1927.12,0,,9714.12,115.6442857,,
708161133,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629,1389,3891,69,0.21,Swipe ,Fuel,466.92,0,,4507.92,65.33217391,,
708162558,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1,,1964.7,54.575,,
708163758,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516,638,13085,139,0.018,Swipe ,Bills,2355.3,0,,15910.3,114.4625899,,
708170508,Blue,250,0,72,01-01-2023,Week-1,Q1,2023,1438.3,0,1651,42,0,Swipe ,Entertainment,462.28,0,,2363.28,56.26857143,,
708171858,Blue,100,1,104,01-01-2023,Week-1,Q1,2023,1864,1081,2607,44,0.58,Swipe ,Fuel,312.84,0,,3019.84,68.63272727,,
708173433,Blue,285,0,40,01-01-2023,Week-1,Q1,2023,5645,2324,2482,57,0.412,Swipe ,Food,496.4,0,,3263.4,57.25263158,,
708174708,Blue,175,1,69,01-01-2023,Week-1,Q1,2023,5535,1276,1764,38,0.231,Swipe ,Fuel,194.04,0,,2133.04,56.13263158,,
708176208,Blue,465,1,89,01-01-2023,Week-1,Q1,2023,7268,0,4199,80,0,Swipe ,Food,587.86,0,,5251.86,65.64825,,
708177333,Silver,460,1,107,01-01-2023,Week-1,Q1,2023,11261,2485,1158,26,0.221,Swipe ,Bills,243.18,0,,1861.18,71.58384615,,
708178608,Blue,300,0,111,01-01-2023,Week-1,Q1,2023,2488,0,4226,73,0,Chip ,Grocery,253.56,0,,4779.56,65.47342466,,
708185208,Blue,110,1,74,01-01-2023,Week-1,Q1,2023,3178,1118,2010,31,0.352,Swipe ,Bills,180.9,0,,2300.9,74.22258065,,
708186933,Blue,195,1,102,01-01-2023,Week-1,Q1,2023,1819,725,2254,45,0.399,Swipe ,Bills,270.48,0,,2719.48,60.43288889,,
